                              Open     High      Low    Close     upper  \
Date                                                                      
2023-02-10 13:02:00+00:00  1.06838  1.06848  1.06836  1.06839  1.069365   
2023-02-10 13:03:00+00:00  1.06838  1.06844  1.06832  1.06834  1.069299   
2023-02-10 13:04:00+00:00  1.06836  1.06848  1.06836  1.06844  1.069203   
2023-02-10 13:05:00+00:00  1.06848  1.06850  1.06838  1.06840  1.069086   
2023-02-10 13:06:00+00:00  1.06840  1.06854  1.06838  1.06844  1.068961   
2023-02-10 13:07:00+00:00  1.06844  1.06844  1.06825  1.06825  1.068841   
2023-02-10 13:08:00+00:00  1.06824  1.06830  1.06824  1.06828  1.068794   
2023-02-10 13:09:00+00:00  1.06833  1.06838  1.06825  1.06834  1.068737   
2023-02-10 13:10:00+00:00  1.06836  1.06838  1.06826  1.06836  1.068669   
2023-02-10 13:11:00+00:00  1.06836  1.06850  1.06830  1.06850  1.068584   
2023-02-10 13:12:00+00:00  1.06850  1.06864  1.06850  1.06858  1.068564   
2023-02-10 13:13:00+00:00  1.06858  1.06894  1.06858  1.06894  1.068699   
2023-02-10 13:14:00+00:00  1.06891  1.06906  1.06881  1.06900  1.068826   
2023-02-10 13:15:00+00:00  1.06898  1.06916  1.06894  1.06910  1.068957   
2023-02-10 13:16:00+00:00  1.06911  1.06940  1.06911  1.06936  1.069137   
2023-02-10 13:17:00+00:00  1.06935  1.06950  1.06934  1.06943  1.069298   
2023-02-10 13:18:00+00:00  1.06944  1.06949  1.06936  1.06942  1.069430   
2023-02-10 13:19:00+00:00  1.06940  1.06960  1.06938  1.06952  1.069564   
2023-02-10 13:20:00+00:00  1.06953  1.06960  1.06924  1.06926  1.069629   
2023-02-10 13:21:00+00:00  1.06928  1.06942  1.06917  1.06918  1.069674   
2023-02-10 13:22:00+00:00  1.06915  1.06920  1.06886  1.06888  1.069681   
2023-02-10 13:23:00+00:00  1.06888  1.06899  1.06880  1.06890  1.069684   
2023-02-10 13:24:00+00:00  1.06888  1.06901  1.06882  1.06895  1.069692   
2023-02-10 13:25:00+00:00  1.06896  1.06932  1.06896  1.06932  1.069734   
2023-02-10 13:26:00+00:00  1.06930  1.06936  1.06907  1.06934  1.069772   
2023-02-10 13:27:00+00:00  1.06934  1.06952  1.06932  1.06948  1.069799   
2023-02-10 13:28:00+00:00  1.06945  1.06956  1.06928  1.06929  1.069784   
2023-02-10 13:29:00+00:00  1.06931  1.06948  1.06924  1.06947  1.069782   
2023-02-10 13:30:00+00:00  1.06945  1.06950  1.06908  1.06934  1.069740   
2023-02-10 13:31:00+00:00  1.06934  1.06941  1.06884  1.06884  1.069695   
2023-02-10 13:32:00+00:00  1.06884  1.06904  1.06872  1.06876  1.069666   
2023-02-10 13:33:00+00:00  1.06876  1.06941  1.06876  1.06927  1.069670   
2023-02-10 13:34:00+00:00  1.06926  1.06926  1.06880  1.06886  1.069679   
2023-02-10 13:35:00+00:00  1.06884  1.06888  1.06848  1.06848  1.069741   
2023-02-10 13:36:00+00:00  1.06850  1.06852  1.06816  1.06831  1.069791   
2023-02-10 13:37:00+00:00  1.06833  1.06888  1.06832  1.06884  1.069755   
2023-02-10 13:38:00+00:00  1.06884  1.06892  1.06862  1.06868  1.069722   
2023-02-10 13:39:00+00:00  1.06870  1.06882  1.06864  1.06878  1.069658   
2023-02-10 13:40:00+00:00  1.06878  1.06878  1.06848  1.06852  1.069644   
2023-02-10 13:41:00+00:00  1.06854  1.06871  1.06836  1.06846  1.069637   
2023-02-10 13:42:00+00:00  1.06848  1.06856  1.06822  1.06856  1.069640   
2023-02-10 13:43:00+00:00  1.06854  1.06880  1.06852  1.06878  1.069637   
2023-02-10 13:44:00+00:00  1.06877  1.06882  1.06862  1.06870  1.069630   
2023-02-10 13:45:00+00:00  1.06872  1.06884  1.06869  1.06878  1.069579   
2023-02-10 13:46:00+00:00  1.06874  1.06878  1.06862  1.06874  1.069518   
2023-02-10 13:47:00+00:00  1.06876  1.06896  1.06860  1.06869  1.069415   
2023-02-10 13:48:00+00:00  1.06871  1.06900  1.06870  1.06900  1.069366   
2023-02-10 13:49:00+00:00  1.06897  1.06938  1.06883  1.06929  1.069319   
2023-02-10 13:50:00+00:00  1.06928  1.06940  1.06913  1.06938  1.069330   
2023-02-10 13:51:00+00:00  1.06940  1.06984  1.06938  1.06975  1.069519   
2023-02-10 13:52:00+00:00  1.06976  1.06995  1.06974  1.06985  1.069703   
2023-02-10 13:53:00+00:00  1.06986  1.06994  1.06966  1.06972  1.069789   
2023-02-10 13:54:00+00:00  1.06970  1.06983  1.06952  1.06978  1.069912   
2023-02-10 13:55:00+00:00  1.06980  1.06994  1.06977  1.06992  1.070045   
2023-02-10 13:56:00+00:00  1.06993  1.06993  1.06977  1.06990  1.070137   
2023-02-10 13:57:00+00:00  1.06989  1.06990  1.06978  1.06982  1.070223   
2023-02-10 13:58:00+00:00  1.06984  1.06991  1.06958  1.06970  1.070276   
2023-02-10 13:59:00+00:00  1.06969  1.06976  1.06948  1.06958  1.070309   
2023-02-10 14:00:00+00:00  1.06958  1.06960  1.06932  1.06946  1.070306   
2023-02-10 14:01:00+00:00  1.06948  1.06952  1.06928  1.06952  1.070287   
2023-02-10 14:02:00+00:00  1.06954  1.06980  1.06952  1.06980  1.070296   
2023-02-10 14:03:00+00:00  1.06980  1.06980  1.06944  1.06955  1.070287   
2023-02-10 14:04:00+00:00  1.06956  1.06964  1.06944  1.06954  1.070257   
2023-02-10 14:05:00+00:00  1.06956  1.06960  1.06944  1.06949  1.070220   
2023-02-10 14:06:00+00:00  1.06952  1.06996  1.06952  1.06982  1.070184   
2023-02-10 14:07:00+00:00  1.06984  1.06990  1.06958  1.06966  1.070076   
2023-02-10 14:08:00+00:00  1.06965  1.06980  1.06965  1.06976  1.070013   
2023-02-10 14:09:00+00:00  1.06974  1.06985  1.06965  1.06978  1.069995   
2023-02-10 14:10:00+00:00  1.06977  1.06977  1.06962  1.06967  1.069975   
2023-02-10 14:11:00+00:00  1.06968  1.06970  1.06944  1.06958  1.069970   
2023-02-10 14:12:00+00:00  1.06956  1.06968  1.06948  1.06949  1.069957   
2023-02-10 14:13:00+00:00  1.06951  1.06958  1.06932  1.06954  1.069953   
2023-02-10 14:14:00+00:00  1.06952  1.06970  1.06944  1.06964  1.069942   
2023-02-10 14:15:00+00:00  1.06966  1.06966  1.06937  1.06942  1.069909   
2023-02-10 14:16:00+00:00  1.06942  1.06945  1.06918  1.06919  1.069909   
2023-02-10 14:17:00+00:00  1.06918  1.06926  1.06908  1.06922  1.069904   
2023-02-10 14:18:00+00:00  1.06924  1.06938  1.06913  1.06926  1.069902   
2023-02-10 14:19:00+00:00  1.06928  1.06954  1.06924  1.06944  1.069898   
2023-02-10 14:20:00+00:00  1.06943  1.06950  1.06934  1.06942  1.069898   
2023-02-10 14:21:00+00:00  1.06942  1.06959  1.06942  1.06953  1.069898   
2023-02-10 14:22:00+00:00  1.06955  1.06955  1.06932  1.06932  1.069866   
2023-02-10 14:23:00+00:00  1.06932  1.06954  1.06923  1.06954  1.069865   
2023-02-10 14:24:00+00:00  1.06955  1.06963  1.06942  1.06942  1.069861   
2023-02-10 14:25:00+00:00  1.06944  1.06958  1.06937  1.06957  1.069866   
2023-02-10 14:26:00+00:00  1.06957  1.06988  1.06951  1.06984  1.069871   
2023-02-10 14:27:00+00:00  1.06984  1.06984  1.06960  1.06972  1.069879   
2023-02-10 14:28:00+00:00  1.06974  1.06988  1.06970  1.06974  1.069876   
2023-02-10 14:29:00+00:00  1.06976  1.06990  1.06976  1.06988  1.069898   
2023-02-10 14:30:00+00:00  1.06990  1.06994  1.06963  1.06991  1.069942   
2023-02-10 14:31:00+00:00  1.06990  1.07002  1.06956  1.06960  1.069943   
2023-02-10 14:32:00+00:00  1.06958  1.06969  1.06938  1.06950  1.069944   
2023-02-10 14:33:00+00:00  1.06952  1.06970  1.06946  1.06958  1.069946   
2023-02-10 14:34:00+00:00  1.06956  1.06969  1.06945  1.06969  1.069952   
2023-02-10 14:35:00+00:00  1.06968  1.06994  1.06954  1.06994  1.070009   
2023-02-10 14:36:00+00:00  1.06992  1.06992  1.06960  1.06965  1.069998   
2023-02-10 14:37:00+00:00  1.06964  1.06970  1.06950  1.06954  1.069979   
2023-02-10 14:38:00+00:00  1.06951  1.06953  1.06930  1.06933  1.069970   
2023-02-10 14:39:00+00:00  1.06931  1.06960  1.06929  1.06950  1.069969   
2023-02-10 14:40:00+00:00  1.06948  1.06955  1.06936  1.06938  1.069971   
2023-02-10 14:41:00+00:00  1.06934  1.06935  1.06904  1.06914  1.070005   
2023-02-10 14:42:00+00:00  1.06914  1.06916  1.06877  1.06900  1.070049   
2023-02-10 14:43:00+00:00  1.06904  1.06904  1.06864  1.06864  1.070155   
2023-02-10 14:44:00+00:00  1.06864  1.06892  1.06864  1.06884  1.070193   
2023-02-10 14:45:00+00:00  1.06884  1.06952  1.06880  1.06948  1.070188   
2023-02-10 14:46:00+00:00  1.06948  1.06951  1.06926  1.06942  1.070149   
2023-02-10 14:47:00+00:00  1.06944  1.06968  1.06922  1.06968  1.070145   
2023-02-10 14:48:00+00:00  1.06964  1.07050  1.06964  1.07046  1.070301   
2023-02-10 14:49:00+00:00  1.07041  1.07070  1.07039  1.07064  1.070468   
2023-02-10 14:50:00+00:00  1.07064  1.07066  1.07024  1.07051  1.070579   
2023-02-10 14:51:00+00:00  1.07054  1.07058  1.07040  1.07043  1.070688   
2023-02-10 14:52:00+00:00  1.07045  1.07052  1.07031  1.07038  1.070780   
2023-02-10 14:53:00+00:00  1.07038  1.07044  1.07020  1.07030  1.070849   
2023-02-10 14:54:00+00:00  1.07030  1.07036  1.06998  1.06998  1.070870   
2023-02-10 14:55:00+00:00  1.06996  1.07010  1.06978  1.07004  1.070880   
2023-02-10 14:56:00+00:00  1.07006  1.07015  1.07002  1.07004  1.070907   
2023-02-10 14:57:00+00:00  1.07004  1.07006  1.06988  1.07004  1.070936   
2023-02-10 14:58:00+00:00  1.07004  1.07010  1.06968  1.06988  1.070947   
2023-02-10 14:59:00+00:00  1.06990  1.07001  1.06974  1.06978  1.070954   
2023-02-10 15:00:00+00:00  1.06978  1.06978  1.06856  1.06905  1.070970   
2023-02-10 15:01:00+00:00  1.06908  1.06946  1.06900  1.06926  1.070964   
2023-02-10 15:02:00+00:00  1.06928  1.06933  1.06894  1.06898  1.070966   
2023-02-10 15:03:00+00:00  1.06897  1.06897  1.06844  1.06860  1.070972   
2023-02-10 15:04:00+00:00  1.06863  1.06920  1.06860  1.06914  1.070945   
2023-02-10 15:05:00+00:00  1.06916  1.06946  1.06912  1.06926  1.070950   
2023-02-10 15:06:00+00:00  1.06926  1.06938  1.06904  1.06904  1.070967   
2023-02-10 15:07:00+00:00  1.06906  1.06948  1.06897  1.06938  1.070964   
2023-02-10 15:08:00+00:00  1.06938  1.06962  1.06928  1.06956  1.070878   
2023-02-10 15:09:00+00:00  1.06959  1.06964  1.06943  1.06954  1.070744   
2023-02-10 15:10:00+00:00  1.06956  1.06988  1.06952  1.06984  1.070642   
2023-02-10 15:11:00+00:00  1.06987  1.07068  1.06968  1.07044  1.070644   
2023-02-10 15:12:00+00:00  1.07044  1.07054  1.06996  1.06997  1.070578   
2023-02-10 15:13:00+00:00  1.06998  1.07040  1.06986  1.07024  1.070567   
2023-02-10 15:14:00+00:00  1.07028  1.07043  1.07011  1.07038  1.070633   
2023-02-10 15:15:00+00:00  1.07038  1.07042  1.07022  1.07024  1.070663   
2023-02-10 15:16:00+00:00  1.07026  1.07042  1.07012  1.07030  1.070702   
2023-02-10 15:17:00+00:00  1.07029  1.07066  1.07029  1.07040  1.070758   
2023-02-10 15:18:00+00:00  1.07040  1.07064  1.07032  1.07054  1.070853   
2023-02-10 15:19:00+00:00  1.07054  1.07054  1.07008  1.07030  1.070908   
2023-02-10 15:20:00+00:00  1.07032  1.07040  1.07006  1.07018  1.070939   
